Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487 
JEROMESPC,"test message",1694517710
JEROMESPC,"test message",1694517854
JEROMESPC,ooga booga,1694521023
JEROMESPC,test message,1694528485
JEROMESPC,please write new line,1694528739
JEROMESPC,does this still work?,1694528758
JEROMESPC,work,1694528784
Caspers-MacBook-Air,heelloo,1694688615
GAMING-PC,cool,1695088079
GAMING-PC,som,1695088646
GAMING-PC,read,1695088651
GAMING-PC,read,1695088658
GAMING-PC,,1695118305
GAMING-PC,,1695118622
GAMING-PC,cool,1695118629
GAMING-PC,cool,1695118741
Olivers-MacBook-Air,"Hej med dig, jeg hedder Kaj",1695129684
H4XX0R9,wow det en vild dag,1695151232
