Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487 
JEROMESPC,"test message",1694517710
JEROMESPC,"test message",1694517854
JEROMESPC,ooga booga,1694521023
JEROMESPC,test message,1694528485
JEROMESPC,please write new line,1694528739
JEROMESPC,does this still work?,1694528758
JEROMESPC,work,1694528784
Caspers-MacBook-Air,heelloo,1694688615
GAMING-PC,cool,1695088079
GAMING-PC,som,1695088646
GAMING-PC,read,1695088651
GAMING-PC,read,1695088658
GAMING-PC,,1695118305
GAMING-PC,,1695118622
GAMING-PC,cool,1695118629
GAMING-PC,cool,1695118741
Olivers-MacBook-Air,"Hej med dig, jeg hedder Kaj",1695129684
Mads,Hello World!,1684229348
Mads,Dette er en test,1684229348
H4XX0R9,hejmed jer alle sammen,1695833577
H4XX0R9,hehehehe,1695837991
H4XX0R9,eheheh,1695838221
H4XX0R9,eheheh,1695838314
Caspers-Air,helloooo,1695858609
Mads,Dette er en test,1684229348
